Frame,Openness,MAR,Kelas
1,0.2375,0.37969636431428,3
2,0.1589743589743589,0.4163054471218133,3
3,0.1974358974358974,0.3996803834887157,3
4,0.2278846153846154,0.4084835668130944,3
5,0.2857142857142856,0.4249274152361958,3
6,0.3483516483516484,0.4279420544359268,3
7,0.2769230769230769,0.4201636912819169,3
8,0.289010989010989,0.4196644026631515,3
9,0.2697802197802197,0.4284413430546923,3
10,0.2756410256410256,0.4380205082187664,3
11,0.2923076923076923,0.4166666666666667,3
12,0.4076923076923077,0.4163054471218133,3
13,0.2935897435897436,0.4166666666666667,3
14,0.3461538461538462,0.4163054471218133,3
15,0.3692307692307692,0.4375,3
16,0.3230769230769231,0.4284413430546923,3
17,0.4397435897435897,0.4648255685530316,3
18,0.3993589743589744,0.4390731277131771,3
19,0.2692307692307692,0.4404759208325728,3
20,0.4057692307692308,0.4376407764540899,3
21,0.3076923076923076,0.3954901747657227,3
22,0.4205128205128205,0.4375,3
23,0.3999999999999999,0.42,3
24,0.4071428571428572,0.4376407764540899,3
25,0.3948717948717948,0.4365074794896781,3
26,0.4237179487179487,0.4365074794896781,3
27,0.4000000000000001,0.4157733732729808,3
28,0.3897435897435897,0.4354215282840205,3
29,0.3269230769230769,0.41376412419281,3
30,0.3423076923076922,0.3966454162181841,3
31,0.4333333333333333,0.4174067861816191,3
32,0.3967948717948718,0.41376412419281,3
33,0.3596153846153846,0.3993529248931196,3
34,0.4025641025641025,0.4174067861816191,3
35,0.2089743589743589,0.4174067861816191,3
36,0.408974358974359,0.4337176193670038,3
37,0.4217948717948718,0.3950120033095458,3
38,0.4153846153846154,0.4354215282840205,3
39,0.4538461538461538,0.4174067861816191,3
40,0.3769230769230769,0.3977958882353427,3
41,0.4230769230769231,0.4184904923400051,3
42,0.3384615384615384,0.4184904923400051,3
43,0.3948717948717948,0.4376407764540899,3
44,0.3184981684981685,0.4157733732729808,3
45,0.4000000000000001,0.3950120033095458,3
46,0.3076923076923076,0.4120602152757934,3
47,0.2134615384615384,0.4184904923400051,3
48,0.2807692307692307,0.4656296249784362,3
49,0.2991987179487179,0.4353257477065388,3
50,0.2519230769230769,0.4126536306249159,3
51,0.2461538461538461,0.4349148691367386,3
52,0.2097222222222222,0.4570648781413214,3
53,0.2038461538461538,0.3958333333333333,3
54,0.2230769230769231,0.4166666666666667,3
55,0.273076923076923,0.4130434782608695,3
56,0.3679487179487179,0.4353542954443575,3
57,0.3923076923076923,0.4380205082187664,3
58,0.3923076923076923,0.4349433899300134,3
59,0.3653846153846153,0.4349433899300134,3
60,0.3096153846153845,0.4349433899300134,3
61,0.3153846153846153,0.4347826086956521,3
62,0.4230769230769231,0.4443589381046422,3
63,0.3926739926739926,0.4443589381046422,3
64,0.4230769230769231,0.4126536306249159,3
65,0.3923076923076923,0.4172145331341759,3
66,0.3769230769230768,0.4168528386291401,3
67,0.4307692307692307,0.4163054471218133,3
68,0.4692307692307693,0.41322477779186,3
69,0.3538461538461538,0.41322477779186,3
70,0.3608974358974359,0.4380205082187664,3
71,0.2829059829059829,0.41322477779186,3
72,0.3587606837606837,0.4349433899300134,3
73,0.2756944444444444,0.4347826086956521,3
74,0.2337606837606837,0.4347826086956521,3
75,0.2895833333333333,0.4343722427630694,3
76,0.425,0.4130434782608695,3
77,0.4458333333333333,0.4130434782608695,3
78,0.4076923076923077,0.437120719477904,3
79,0.425,0.437120719477904,3
80,0.3923076923076923,0.4163054471218133,3
81,0.4326923076923076,0.4163054471218133,3
82,0.4060439560439561,0.3954901747657227,3
83,0.3447802197802198,0.4163054471218133,3
84,0.3442307692307693,0.4166666666666667,3
85,0.4432692307692307,0.4163054471218133,3
