PERCLOS,MAR_Std
0.0519758098504792,0.013650998405757
0.0447765327047999,0.0192219524837622
0.0486498966833732,0.0174513834683127
0.0491866931469633,0.0165752713485431
0.1089139676412519,0.0208749404603445
0.0498300907422475,0.00832159817949
0.0445978324918755,0.0403768056352342
0.0437018335886745,0.0214181722941019
0.0473102310274023,0.0104709780896386
0.1388996570460877,0.0288937216856104
0.0527803997618591,0.0213364293372132
0.1618724293185921,0.02077038608022
0.2976906218579396,0.029137640154152
0.0495073829314996,0.0188323079491551
0.0977903079763999,0.0204147248487697
0.0399108589318435,0.0209404950621076
0.3558129651113312,0.018318330374233
0.0447552372746951,0.0243515390419979
0.2437258949355893,0.0202705378784073
0.1065868193697744,0.0220806009008376
0.0962509873301791,0.0144620714307454
0.178312614937706,0.0166764473612731
0.1882255356984476,0.0194021744699318
0.1678041578978074,0.0192223569693753
0.1004119250119386,0.0183372101231088
0.4380227572952126,0.0204833614951664
0.1604425830699464,0.0181065026470818
0.0533146238413237,0.0100782177351749
0.342590582968507,0.0158046011997164
0.2233075513589545,0.016513384652958
0.2935346884298708,0.0153729166167281
0.1560762567212442,0.013873503907614
0.5098441284284768,0.0190352079257546
0.1448977318388968,0.0188649530523532
0.2441560920769733,0.0207256047948984
0.6350306415899841,0.0180081432539804
0.0520743278085068,0.0233932905941857
0.1980671645163211,0.0190139933926799
0.0456301529470426,0.0239524190778997
0.6144189825788083,0.0117148499844095
0.0544591171837852,0.0218476429955434
0.1522395726417097,0.0171159520427036
0.105730040784363,0.013774606896347
0.0469488426587673,0.0135229273040141
0.0461420629662701,0.015300861549216
0.0419343037573159,0.0145698343133644
0.1839274931802293,0.0188050147648149
0.1504040132134319,0.0218561429512572
0.045858375861465,0.0184599453857679
0.1955708211007045,0.0170856917402949
0.5081653262913621,0.0164720551449506
0.0479115793574362,0.0160742377339146
0.0501070557899053,0.0173558963743113
0.0434822000733382,0.0393451452740331
0.046465263506813,0.0149614629031797
0.2277295698036001,0.0140435229679491
0.0477180740636979,0.0229861068143141
0.1002378684872426,0.0144545344688441
0.045586941762466,0.0190928690925085
0.0429094709154292,0.0196255074295472
0.0489517184903255,0.0140394076300985
0.0478345681229462,0.0159685229373367
0.047346133884884,0.0572241834944043
0.1497674107584075,0.0190732803145513
0.1137756916075229,0.0222401630232723
0.0446366873751656,0.020903462647514
0.1655274270471107,0.0181916248543427
0.0536691460804091,0.0150996395827949
0.2073977838204405,0.0128873841429326
0.0545855757545595,0.0163256162301546
0.0553330701952274,0.0152946095371316
0.5283704161043357,0.0202269045898879
0.2602831236276818,0.0216892232402424
0.2758275061705802,0.0216727701333838
0.0482334272142904,0.0168519713131998
0.3277046206710575,0.0243138955287544
0.2689754772054931,0.0204035556438528
0.0404515731223097,0.0145967961687593
0.1321746127296434,0.0207297860263795
0.0927334011866439,0.0161199165519886
0.1496585570892054,0.018079813950905
0.0518974395709418,0.0165199085691596
0.1457319708627237,0.0251066964688859
0.0497959571678521,0.0193758696766109
0.1043908228657276,0.0141206519792552
0.1555177190880229,0.0063324487089176
0.1044991251557954,0.0151992804515526
0.0911646874894177,0.026662517540067
0.0477602852798811,0.0200344743044113
0.0502249206849157,0.0121871756033654
0.1396130087786072,0.019824551541791
0.1560074501145112,0.0204452688668167
0.2015247261028486,0.0181555395323487
0.2239118225891071,0.0185232553258471
0.0990939455745283,0.0169879798210936
0.1745778926113434,0.0167341549172409
0.0458161517594627,0.0125090916352771
0.0500446183557649,0.01448987685522
0.151935821320238,0.0561141579398453
0.1518194679734026,0.0689533038115645
0.1186372601868149,0.0074615583472025
0.1616638773307118,0.0351284676805304
0.1027106961447741,0.056920699634085
0.6798000096764284,0.0183837672101115
0.3344989789284069,0.0136461196451952
0.1069392689799606,0.0266205480150529
0.2250284524661279,0.0227800782119762
0.2053363953542517,0.0101136033019256
0.1172195716436987,0.0157597500600077
0.5293773539620908,0.0192475555090114
0.3272647695091439,0.0168985621664271
0.0545638975271074,0.0164908885557116
